station_id,name,lat,lng,borough,capacity
3070.04,E 16 St & Cortelyou Rd,40.64173,-73.96364,Brooklyn,24
3080.01,E 8 St & Beverley Rd,40.64369,-73.97163,Brooklyn,20
3084.05,52 St & 6 Ave,40.642703,-74.009441,Brooklyn,21
3087.01,Cortelyou Rd & E 34 St,40.64454,-73.94486,Brooklyn,20
3090.06,Church Ave & McDonald Ave,40.642809,-73.979239,Brooklyn,24
3093.07,57 St & 4 Ave,40.642622,-74.016866,Brooklyn,21
3099.01,37 St & Fort Hamilton Pkwy,40.64417,-73.98923,Brooklyn,21
3113.06,Rugby Rd & Beverley Rd,40.64435,-73.96591,Brooklyn,22
3113.1,Stratford Rd & Beverley Rd,40.64378,-73.96867,Brooklyn,21
3117.05,46 St & 7 Ave,40.644743,-74.003754,Brooklyn,24
3121.01,Cortelyou Rd & Albany Ave,40.64483,-73.93853,Brooklyn,19
3125.09,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,Brooklyn,24
3129.08,53 St & 5 Ave,40.643371,-74.011884,Brooklyn,21
3132.09,Beverley Rd & Nostrand Ave,40.64507,-73.9488,Brooklyn,23
3135.04,Chester Ave & 12 Ave,40.644367,-73.984276,Brooklyn,21
3138.03,56 St & 2 Ave,40.645705,-74.020292,Jersey City,24
3138.09,58 St & 2 Ave,40.644512,-74.021506,Jersey City,15
3140.09,Bedford Ave & Beverley Rd,40.64491,-73.95487,Brooklyn,24
3148.08,E 17 St & Beverley Rd,40.64466,-73.96322,Brooklyn,22
3148.09,E 19 St & Beverley Rd,40.64483,-73.9613,Brooklyn,21
3155.01,Schenectady Ave & Cortelyou Rd,40.64535,-73.93268,Brooklyn,19
3157.08,Turner Pl & Coney Island Ave,40.64521,-73.97073,Brooklyn,23
3161.02,46 St & 6 Ave,40.645921,-74.005708,Brooklyn,22
3164.04,Brooklyn Ave & Beverley Rd,40.64575,-73.94331,Brooklyn,18
3166.03,Albemarle Rd & McDonald Ave,40.645074,-73.979681,Brooklyn,24
3169.07,53 St & 4 Ave,40.644862,-74.014531,Brooklyn,25
3172.01,Tilden Ave & Nostrand Ave,40.64683,-73.94933,Brooklyn,20
3178.02,57 St & 1 Ave,40.646377,-74.023087,Jersey City,22
3180.02,Beverley Rd & Flatbush Ave,40.64499,-73.95818,Brooklyn,25
